step,actor/entropy,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,perf/mfu/actor,perf/mfu/actor_infer,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/old_log_prob,timing_s/ref,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid,val-aux/longvt_longvt-val/answered/mean@1,val-aux/longvt_longvt-val/evidence_iou/mean@1,val-aux/longvt_longvt-val/format_score/mean@1,val-aux/longvt_longvt-val/judge_used/mean@1,val-aux/longvt_longvt-val/num_tool_calls/mean@1,val-aux/longvt_longvt-val/reward/mean@1,val-aux/longvt_longvt-val/score/mean@1,val-aux/num_turns/max,val-aux/num_turns/mean,val-aux/num_turns/min,val-core/longvt_longvt-val/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973684,0.155357,0.486842,0.973684,0.982456,1.02066,1.02066,4,3.96491,2,0.45614
1,1.11328,0.0514412,0.001,0,0.03936,9.99969e-06,97.0483,38.7623,41.752,0,0,0.03936,0,3.23521,-0.03936,-2.557,3.23521,-0.03936,-2.557,1.88889,0.978561,0.5,1.88889,0.978561,0.5,920314,920314,920314,920314,920314,0,4,4,4,0.340521,0.292904,1219.12,754.901,920314,0,4145,3994.25,3940,0,0,3517,3195.7,281,0,3517,3195.7,281,26.7421,0.00588095,0.0025353,0.00216317,0.00338854,0.00204528,0.0142759,-0.00984389,1.00205,1.08106,3.02711,1.08311,3.03337,0.000177085,0.360039,0.145707,0.345154,0.162974,3.20301,0.981722,0.227905,119.272,104.64,61.1903,-1,-1,-1,1.68934,119.272,-1,3950,3481,0.113442,0.794703,0.146279,0.000132902,0.321667,147.274,151.221,134.096,2.6148e-05,,0.000222602,754.901,4.1625e-05,,317.65,4.02045,0,1,0.999096,0.331892,0.00879008,0.013282,1,,,,,,,,,,,
2,1.20197,0.0506227,0.001,0.000748096,0.0224491,9.99875e-06,98.1229,39.1501,41.8828,0,0,0.0224484,0,3.72678,-0.0224484,-3.33237,3.72678,-0.0224484,-3.33237,1.97896,1.03908,0.5,1.97896,1.03908,0.5,930562,930562,930562,930562,930562,0,4,4,4,0.340486,0.29672,1208.35,770.112,930562,0,4151,4019,3934,0,0,3577,3251.02,439,0,3577,3251.02,439,0.810843,0.00498164,0.00240168,0.00229641,0.00306806,0.00238693,0.0129423,-0.00360036,1.00239,1.16482,3.29174,1.16721,3.29931,0.000189647,0.374292,0.147879,0.342419,0.176479,1.83202,0.947258,0.31292,124.298,108.544,60.1972,-1,-1,-1,1.151,124.298,-1,4146,3443,0.144098,0.779147,0.143348,0.000116182,0.325973,155.754,153.519,137.61,0.000403694,,7.3583e-05,770.112,4.7977e-05,,318.642,3.93237,0,2,0.999121,0.211066,0.00883363,0.0130255,1,,,,,,,,,,,
3,1.07201,0.052132,0.001,0.000696108,0.00154079,9.9972e-06,114.623,39.1501,41.8828,0,0,0.00154009,0,2.46696,-0.00154007,-2.59758,2.46696,-0.00154007,-2.59758,1.95612,1.20373,0.5,1.95612,1.20373,0.5,927085,927085,927085,927085,927085,0,4,4,4,0.34224,0.296976,1217.98,761.164,927085,0,4147,3993.5,3936,0,0,3557,3249.35,2950,0,3557,3249.35,2950,1.37254,0.00556898,0.00273121,0.00258467,0.00363034,0.00262284,0.034476,-0.00534809,1.00264,1.04385,2.89016,1.04648,2.89771,0.00017859,0.36557,0.148255,0.343684,0.165568,3.24147,0.868268,0.318514,120.307,105.189,64.7931,-1,-1,-1,1.14759,120.137,-1,4147,3482,0.121804,0.767326,0.140265,0.0633495,0.332041,152.047,148.459,137.445,0.000367003,,6.7145e-05,761.164,4.458e-05,,318.625,3.94184,0,3,0.998945,0.309537,0.00935776,0.0142112,1,,,,,,,,,,,
4,1.16177,0.0500668,0.001,0.0007365,-0.00697369,9.99502e-06,132.139,39.173,41.9434,0,0,-0.00697442,0,3.00986,0.00697441,-2.33339,3.00986,0.00697441,-2.33339,1.94695,1.10749,0.0075,1.94695,1.10749,0.0075,931942,931942,931942,931942,931942,0,4,4,4,0.342353,0.298051,1186.87,785.209,931942,0,4142,4013.5,3933,0,0,3545,3267.3,2957,0,3545,3267.3,2957,98.0498,0.00536108,0.00261758,0.00260943,0.00356338,0.00266044,0.0101825,-0.00792193,1.00267,1.15156,3.24872,1.15422,3.25773,0.000173951,0.368639,0.154836,0.352156,0.162113,5.00607,1.03447,0.318243,125.603,110,66.654,-1,-1,-1,5.00607,123.705,-1,3939,3399,0.335805,0.732537,0.128432,0.0548068,0.327386,154.17,153.935,144.299,0.000369931,,5.7882e-05,785.209,5.5421e-05,,328.189,3.97158,0,4,0.999105,0.269331,0.00886874,0.0133136,1,,,,,,,,,,,
5,1.06125,0.0509403,0.001,0.000677655,0.0339391,9.99221e-06,99.5731,39.173,41.9629,0,0,0.0339384,0,3.57501,-0.0339384,-2.52117,3.57501,-0.0339384,-2.52117,1.91929,1.2789,0.5,1.91929,1.2789,0.5,936306,936306,936306,936306,936306,0,8,4.03125,4,0.337939,0.299263,1201.55,779.247,936306,0,4146,4038.12,3933,0,0,8849,3276.77,2904,0,8849,3276.77,2904,2.0984,0.00401318,0.00237261,0.00277337,0.00360395,0.00287435,0.010739,-0.00529087,1.00288,1.01408,2.91843,1.01695,2.92714,0.000204755,0.387925,0.146797,0.348148,0.191714,3.46135,0.972471,0.339479,133.679,113.419,65.0631,-1,-1,-1,0.472881,133.679,-1,4146,3781,0.0819393,0.846033,0.135482,0.0546249,0.328085,162.706,148.522,137.447,0.000322697,,6.3626e-05,779.247,4.2396e-05,,325.973,3.93493,0,5,0.999051,0.256884,0.00883892,0.0135854,1,,,,,,,,,,,
6,1.10034,0.0499509,0.001,0.000698933,0.000207968,9.98879e-06,99.2905,39.1906,41.9629,0,0,0.000207268,0,3.74998,-0.000207283,-2.36322,3.74998,-0.000207283,-2.36322,1.95568,1.04346,0.5,1.95568,1.04346,0.5,929967,929967,929967,929967,929967,0,4,4,4,0.342317,0.298071,1241.82,748.877,929967,0,4145,4023.12,3941,0,0,3702,3242.24,326,0,3702,3242.24,326,2.13617,0.00597191,0.00259597,0.0024365,0.0032705,0.0024583,0.0124727,-0.00462723,1.00247,1.08095,3.03383,1.08341,3.04153,0.000174263,0.368532,0.143603,0.338746,0.162059,4.01555,1.01579,0.231773,126.383,108.591,65.5975,-1,-1,-1,1.05814,126.383,-1,3950,3702,0.0949513,0.703789,0.127677,0.000213582,0.317102,152.944,142.755,133.546,0.000918699,,6.7101e-05,748.877,4.6253e-05,,315.022,3.9677,0,6,0.999045,0.236478,0.00894261,0.0137063,1,,,,,,,,,,,
7,1.0608,0.0528716,0.001,0.000690443,0.0389245,9.98474e-06,99.3272,39.1906,41.9629,0,0,0.0389238,0,3.23344,-0.0389238,-3.46845,3.23344,-0.0389238,-3.46845,1.89547,1.16624,0.5,1.89547,1.16624,0.5,922304,922304,922304,922304,922304,0,4,4,4,0.343029,0.297557,1224.86,752.986,922304,0,3960,3945.62,3933,0,0,3779,3259.88,371,0,3779,3259.88,371,1.43559,0.0053041,0.00260091,0.00256586,0.00343679,0.00260159,0.0110482,-0.00520992,1.00261,1.02684,2.8722,1.02944,2.87948,0.000187695,0.35941,0.148685,0.343317,0.173112,2.45725,0.983366,0.313354,122.071,105.308,68.464,-1,-1,-1,0.34695,122.071,-1,3934,3779,0.187225,0.774284,0.14058,0.000250594,0.325293,149.969,144.653,137.133,0.000388208,,6.0559e-05,752.986,6.6582e-05,,316.642,3.93207,0,7,0.998954,0.432843,0.00910929,0.014362,1,,,,,,,,,,,
8,1.14217,0.0528728,0.001,0.000728409,0.00598872,9.98008e-06,99.4462,39.1906,41.9629,0,0,0.00598799,0,3.41736,-0.00598801,-1.72504,3.41736,-0.00598801,-1.72504,1.992,1.02676,0,1.992,1.02676,0,925321,925321,925321,925321,925321,0,4,4,4,0.338482,0.300607,1224.56,755.636,925321,0,4149,3993.12,3930,0,0,3741,3235.95,727,0,3741,3235.95,727,1.55053,0.00434685,0.00232302,0.00248459,0.00344724,0.00252854,0.0112112,-0.00551844,1.00254,1.10857,3.12615,1.1111,3.13422,0.000180577,0.365272,0.143422,0.351171,0.167092,2.59554,0.977792,0.318744,124.558,105.541,59.8766,-1,-1,-1,0.9255,124.558,-1,3950,3741,0.11579,0.794225,0.154407,0.000131315,0.319607,151.296,142.084,132.712,0.000562224,,6.689e-05,755.636,7.9489e-05,,324.946,3.93444,0,8,0.999099,0.263253,0.00885123,0.0131851,1,,,,,,,,,,,
9,1.11099,0.0495018,0.001,0.000710271,0.000256527,9.97479e-06,99.6662,39.1906,41.9629,0,0,0.00025582,0,2.33544,-0.000255816,-2.9482,2.33544,-0.000255816,-2.9482,1.95161,1.11918,0.0231037,1.95161,1.11918,0.0231037,924706,924706,924706,924706,924706,0,4,4,4,0.339452,0.301332,1215.53,760.741,924706,0,3958,3948.62,3937,0,0,3638,3275.64,455,0,3638,3275.64,455,2.2391,0.0042963,0.00258904,0.00315021,0.00354047,0.00312853,0.0184287,-0.00560284,1.00314,1.08385,3.06409,1.08698,3.07355,0.000180141,0.37194,0.144755,0.352487,0.166577,3.10181,1.07148,0.323203,123.667,108.203,53.8643,-1,-1,-1,1.86744,123.257,-1,3958,3508,0.204707,1.27062,0.187638,0.000225882,0.310907,155.948,140.366,133.856,0.000522069,,6.4258e-05,760.741,5.0935e-05,,325.947,3.96395,0,9,0.999094,0.245946,0.00878482,0.0133223,1,,,,,,,,,,,
