step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
1,89.313,38.421,41.6445,229518,0.146929,0.830972,2.5e-06,0.310844,0.000229518,
2,89.4824,38.421,41.6445,227249,0.166456,0.891788,5e-06,0.319174,0.000456767,
3,89.9118,38.421,41.6445,228450,0.158447,0.860992,7.5e-06,0.316015,0.000685217,
4,89.839,38.6532,41.6445,230155,0.182692,0.966061,1e-05,0.316572,0.000915372,
5,90.3492,38.6532,41.6445,229090,0.161166,0.930546,1.25e-05,0.316559,0.00114446,
6,90.8137,38.6717,41.7812,230096,0.174677,0.878286,1.5e-05,0.316145,0.00137456,
7,91.2629,38.6902,41.7812,230516,0.152936,0.902791,1.75e-05,0.316896,0.00160507,
8,91.221,38.6902,41.7812,228355,0.166508,0.875545,2e-05,0.316342,0.00183343,
9,92.5003,38.6902,41.7812,228746,0.164488,0.88206,2e-05,0.317207,0.00206217,
10,92.1915,38.6902,41.8789,229461,0.158788,0.897336,2e-05,0.316292,0.00229164,
11,92.4993,38.6902,41.8789,229796,0.153806,0.873009,2e-05,0.315895,0.00252143,
12,92.1188,38.6902,41.8789,229454,0.156765,0.829966,2e-05,0.317997,0.00275089,
13,92.5803,38.6902,41.8789,229981,0.158068,0.856945,2e-05,0.316775,0.00298087,
14,92.9459,38.6902,41.8789,230190,0.171607,0.920369,2e-05,0.316042,0.00321106,
15,93.4026,38.6988,41.8789,230316,0.148742,0.843248,2e-05,0.317116,0.00344137,
16,92.8324,38.6988,41.8789,229599,0.147893,0.880859,2e-05,0.317059,0.00367097,
17,95.148,38.6988,41.8789,227437,0.140022,0.806506,2e-05,0.317115,0.00389841,
18,94.7138,38.7584,42.0156,230717,0.148316,0.903101,2e-05,0.316831,0.00412913,
19,94.9238,38.7584,42.0156,229454,0.134043,0.891907,2e-05,0.316445,0.00435858,
20,94.8943,38.7584,42.0156,229708,0.139688,0.855771,2e-05,0.31705,0.00458829,
21,95.0021,38.7584,42.0156,230065,0.160288,1.02356,2e-05,0.317145,0.00481835,
22,95.1257,38.7584,42.0156,229519,0.149507,0.955089,2e-05,0.316783,0.00504787,
23,95.4136,38.7584,42.0156,228456,0.150879,0.908914,2e-05,0.318666,0.00527633,
24,94.3925,38.7584,42.0156,228389,0.16394,0.869037,2e-05,0.316996,0.00550472,
25,96.2858,38.7584,42.0547,228950,0.165963,0.870203,2e-05,0.317404,0.00573367,0.96399
26,100.098,38.7584,42.0547,227916,0.151638,0.919171,2e-05,0.317849,0.00596158,
27,100.696,38.7584,42.0547,229806,0.151989,0.907299,2e-05,0.316785,0.00619139,
28,100.471,38.7584,42.0547,228184,0.157068,0.832933,2e-05,0.316502,0.00641957,
29,100.361,38.7584,42.0547,229230,0.139138,0.901495,2e-05,0.317219,0.0066488,
30,100.47,38.7584,42.0547,229619,0.139313,0.944249,2e-05,0.316789,0.00687842,
31,100.067,38.7584,42.1133,229736,0.143559,0.91761,2e-05,0.316795,0.00710816,
32,99.5835,38.7584,42.1133,230747,0.142772,0.963927,2e-05,0.317467,0.0073389,
33,102.097,38.7584,42.1133,229735,0.138615,0.940148,2e-05,0.317403,0.00756864,
