step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
1,91.0192,38.421,41.6445,229518,0.145352,0.830972,1.17647e-06,0.31187,0.000229518,
2,90.9753,38.421,41.6445,227249,0.163908,0.891788,2.35294e-06,0.319694,0.000456767,
3,90.6343,38.421,41.6445,228450,0.155392,0.860169,3.52941e-06,0.316838,0.000685217,
4,90.7887,38.6532,41.6445,230155,0.178403,0.96611,4.70588e-06,0.316562,0.000915372,
5,91.1684,38.6532,41.6445,229090,0.165744,0.930331,5.88235e-06,0.317126,0.00114446,
6,91.5699,38.6717,41.7812,230096,0.15875,0.878883,7.05882e-06,0.317327,0.00137456,
7,91.5868,38.6902,41.7812,230516,0.149225,0.903232,8.23529e-06,0.317473,0.00160507,
8,92.7628,38.6902,41.7812,228355,0.165763,0.8762,9.41176e-06,0.317223,0.00183343,
9,93.5701,38.6902,41.7812,228746,0.255608,0.882389,1.05882e-05,0.317279,0.00206217,
10,92.8106,38.6902,41.8789,229461,0.175006,0.898521,1.17647e-05,0.316582,0.00229164,
11,93.0057,38.6902,41.8789,229796,0.159848,0.874044,1.29412e-05,0.316014,0.00252143,
12,92.5979,38.6902,41.8789,229454,0.159446,0.831075,1.41176e-05,0.317834,0.00275089,
13,92.3744,38.6902,41.8789,229981,0.152721,0.859196,1.52941e-05,0.317644,0.00298087,
14,92.475,38.6902,41.8789,230190,0.180941,0.924207,1.64706e-05,0.317866,0.00321106,
15,92.7528,38.6988,41.8789,230316,0.155927,0.84647,1.76471e-05,0.317505,0.00344137,
16,92.8707,38.6988,41.8789,229599,0.157605,0.884069,1.88235e-05,0.316999,0.00367097,
17,94.8022,38.6988,41.8789,227437,0.139197,0.807357,2e-05,0.317318,0.00389841,
18,94.24,38.7584,42.0156,230717,0.159917,0.90543,2e-05,0.316761,0.00412913,
19,94.1095,38.7584,42.0156,229454,0.142869,0.894048,2e-05,0.316777,0.00435858,
20,93.359,38.7584,42.0156,229708,0.150306,0.85825,2e-05,0.316893,0.00458829,
