step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
1,89.0881,38.269,41.6445,231457,0.108844,0.870844,7.69231e-06,0.31181,0.000231457,
2,90.7312,38.6503,41.6445,231015,0.113081,0.904501,1.53846e-05,0.320811,0.000462472,
3,90.6751,38.6591,41.7617,230932,0.122167,0.926032,2.30769e-05,0.317225,0.000693404,
4,91.1175,38.6591,41.7617,230661,0.109611,0.854463,3.07692e-05,0.317401,0.000924065,
5,90.7294,38.6591,41.7617,229063,0.114857,0.87529,3.84615e-05,0.316042,0.00115313,
6,91.1768,38.7933,42.0352,231576,0.118526,0.880724,4.61538e-05,0.316674,0.0013847,
7,91.5186,38.7933,42.0352,230336,0.11163,0.882395,5.38462e-05,0.317281,0.00161504,
8,91.4429,38.7933,42.0352,230028,0.117,0.956465,6.15385e-05,0.317095,0.00184507,
9,92.6974,38.7933,42.0352,230793,0.11806,0.918674,6.92308e-05,0.317693,0.00207586,
10,93.8714,38.7933,42.0352,230158,0.112136,0.849921,7.69231e-05,0.317514,0.00230602,
11,93.5174,38.7933,42.0352,231121,0.118019,0.904053,8.46154e-05,0.317024,0.00253714,
12,93.7378,38.8773,42.0352,232142,0.115083,0.869519,9.23077e-05,0.318598,0.00276928,
13,92.6975,38.8773,42.1133,232143,0.117563,0.906658,0.0001,0.317274,0.00300142,
14,92.3718,38.8773,42.1133,228813,0.111894,0.834252,0.0001,0.316999,0.00323024,
15,92.5641,38.8773,42.1133,231173,0.113891,0.930807,0.0001,0.31774,0.00346141,
16,92.1392,38.8773,42.1133,231230,0.112683,0.906287,0.0001,0.317249,0.00369264,
17,92.0206,38.8773,42.1133,230915,0.108173,0.851205,0.0001,0.317414,0.00392356,
18,94.5896,38.8773,42.1133,231480,0.120699,0.880954,0.0001,0.317998,0.00415504,
19,93.9495,38.8773,42.1133,230670,0.103167,0.87523,0.0001,0.317266,0.00438571,
20,93.7883,38.8773,42.1133,230091,0.101335,0.871633,0.0001,0.317579,0.0046158,
21,92.4531,38.8773,42.1133,231138,0.0992469,0.891468,0.0001,0.317208,0.00484694,
22,92.656,38.8773,42.1133,230659,0.101094,0.859195,0.0001,0.318091,0.00507759,
23,92.8609,38.8773,42.1133,230700,0.10177,0.881629,0.0001,0.317851,0.00530829,
24,92.5102,38.8773,42.1133,229811,0.099547,0.82282,0.0001,0.317244,0.0055381,
25,92.5833,38.8773,42.1133,230129,0.105561,0.924239,0.0001,0.31734,0.00576823,0.918302
26,92.614,38.2094,41.4883,229322,0.097058,0.845602,0.0001,0.312168,0.000229322,
27,93.6943,38.648,41.5078,230921,0.101324,0.942962,0.0001,0.319621,0.000460243,
28,94.2602,38.648,41.8789,230702,0.0933429,0.871279,0.0001,0.317581,0.000690945,
29,94.5539,38.648,41.8789,229848,0.0997076,0.926651,0.0001,0.317693,0.000920793,
30,94.5024,38.7964,41.9766,231244,0.101492,0.903059,0.0001,0.317325,0.00115204,
31,94.6909,38.7964,41.9766,230635,0.0976257,0.906531,0.0001,0.317941,0.00138267,
32,95.6446,38.7964,41.9766,228801,0.103513,0.911071,0.0001,0.31749,0.00161147,
33,95.8833,38.7964,41.9766,231436,0.0963504,1.03004,0.0001,0.317489,0.00184291,
34,96.6611,38.7964,41.9766,229772,0.0973748,0.909666,0.0001,0.317215,0.00207268,
35,96.1215,38.7964,41.9766,230314,0.0926937,0.911497,0.0001,0.31795,0.00230299,
36,96.6179,38.805,42.1719,231542,0.089015,0.883857,0.0001,0.317981,0.00253454,
37,95.7015,38.9061,42.1719,232292,0.0885632,0.888135,0.0001,0.318091,0.00276683,
38,95.9863,38.9061,42.1719,231529,0.0938343,0.849529,0.0001,0.318705,0.00299836,
39,96.5232,38.9061,42.1719,232062,0.0886529,0.858889,0.0001,0.317902,0.00323042,
40,96.2,38.9061,42.1719,231071,0.0883815,0.894768,0.0001,0.317151,0.00346149,
