step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
1,87.9035,38.6268,42.1523,232061,1.56742,1.76043,8.33333e-06,0.312811,0.000232061,
2,88.1892,38.8722,42.1914,232103,1.56363,1.7573,1.66667e-05,0.320956,0.000464164,
3,88.5204,38.8722,42.1914,231911,1.48217,1.72356,2.5e-05,0.318716,0.000696075,
4,88.2663,38.8722,42.1914,231736,1.45622,1.68803,3.33333e-05,0.318463,0.000927811,
5,87.9708,38.8722,42.1914,231284,1.46994,1.65305,4.16667e-05,0.318104,0.00115909,
6,88.6022,38.8722,42.1914,232738,1.36153,1.65291,5e-05,0.318307,0.00139183,
7,88.6977,38.8722,42.1914,232883,1.16386,1.59673,5.83333e-05,0.318175,0.00162472,
8,88.2283,38.8722,42.1914,231653,0.935104,1.54814,6.66667e-05,0.31783,0.00185637,
9,88.9342,38.8722,42.1914,232406,1.05833,1.43398,7.5e-05,0.318565,0.00208878,
10,91.0455,38.8722,42.1914,231580,0.557906,1.43666,8.33333e-05,0.317976,0.00232036,
11,90.5063,38.8722,42.1914,232161,0.470783,1.3726,9.16667e-05,0.318364,0.00255252,
12,90.085,38.8722,42.1914,232122,0.436236,1.36639,0.0001,0.318283,0.00278464,
13,89.9965,38.8722,42.1914,230018,0.438944,1.35037,0.0001,0.31811,0.00301466,
14,90.4517,38.8722,42.1914,230911,0.478595,1.34588,0.0001,0.318763,0.00324557,
15,90.3823,38.8722,42.1914,231885,0.551459,1.34398,0.0001,0.317751,0.00347745,
16,89.2873,38.8722,42.1914,232176,0.53881,1.31022,0.0001,0.317888,0.00370963,
17,89.1919,38.8722,42.1914,231393,0.544314,1.21457,0.0001,0.317969,0.00394102,
18,91.8958,38.8722,42.1914,228592,0.481722,1.25597,0.0001,0.317812,0.00416961,
19,92.2973,38.8722,42.1914,231403,0.419883,1.18791,0.0001,0.318351,0.00440102,
20,91.3625,38.8722,42.1914,232409,0.352223,1.23264,0.0001,0.318784,0.00463343,
21,91.2018,38.8722,42.1914,230857,0.283638,1.20247,0.0001,0.31739,0.00486428,
22,91.465,38.8722,42.1914,232167,0.263818,1.18269,0.0001,0.317609,0.00509645,
23,91.9407,38.8722,42.1914,230860,0.263099,1.12217,0.0001,0.317527,0.00532731,
24,91.0189,38.8722,42.1914,229853,0.269576,1.07262,0.0001,0.318803,0.00555716,
25,90.3978,38.8722,42.1914,230132,0.259498,1.12149,0.0001,0.318041,0.00578729,1.12432
26,93.8609,38.3265,41.5273,230890,0.280574,1.10916,0.0001,0.312201,0.00023089,
27,93.996,38.7844,41.7422,232212,0.286662,1.14878,0.0001,0.319808,0.000463102,
28,94.1612,38.7844,41.7422,231628,0.300247,1.13844,0.0001,0.317823,0.00069473,
29,94.3195,38.7844,41.7422,230653,0.270161,1.08552,0.0001,0.317386,0.000925383,
30,94.3972,38.7844,41.7422,231507,0.247258,1.04745,0.0001,0.318265,0.00115689,
31,94.7744,38.7844,41.7422,231572,0.242384,1.10624,0.0001,0.318238,0.00138846,
32,94.9788,38.7844,41.8008,230980,0.23802,1.07919,0.0001,0.317968,0.00161944,
33,94.9215,38.7844,41.918,231618,0.230147,1.07895,0.0001,0.317833,0.00185106,
34,95.9209,38.8634,42.1133,232963,0.229004,1.124,0.0001,0.318848,0.00208402,
35,96.1839,38.8634,42.1133,232003,0.230739,1.03354,0.0001,0.318004,0.00231603,
36,95.3633,38.8634,42.1133,229664,0.221666,1.03919,0.0001,0.318167,0.00254569,
37,95.3839,38.8634,42.1133,231865,0.215235,1.05255,0.0001,0.317001,0.00277756,
38,95.3853,38.8634,42.1133,231783,0.214255,0.976419,0.0001,0.316525,0.00300934,
39,95.4461,38.8634,42.1133,232386,0.199784,1.04312,0.0001,0.317071,0.00324172,
40,95.3494,38.8634,42.1133,231928,0.208591,1.0276,0.0001,0.316797,0.00347365,
41,94.6335,38.8904,42.1133,232368,0.202227,1.02226,0.0001,0.317164,0.00370602,
42,96.5737,38.8904,42.1133,232617,0.213984,1.00799,0.0001,0.317441,0.00393864,
43,96.489,38.8904,42.1133,231951,0.211329,1.0606,0.0001,0.317449,0.00417059,
44,95.976,38.8904,42.1133,232289,0.212934,1.03765,0.0001,0.317207,0.00440288,
45,92.5174,38.8904,42.1133,232446,0.218884,1.0461,0.0001,0.31742,0.00463532,
46,88.5444,38.8964,42.1133,232990,0.211576,1.02429,0.0001,0.317185,0.00486831,
47,84.5472,38.8964,42.1133,229729,0.224829,1.02275,0.0001,0.316428,0.00509804,
48,80.6176,38.9343,42.2695,233077,0.221186,1.00175,0.0001,0.318353,0.00533112,
49,76.6242,38.9343,42.2695,231674,0.201861,1.01307,0.0001,0.317084,0.00556279,
50,73.2826,38.9343,42.2695,231827,0.210729,0.953106,0.0001,0.31665,0.00579462,1.00559
51,73.5676,38.9343,42.2695,231832,0.217438,0.978491,0.0001,0.318043,0.00602645,
52,69.6082,38.9343,42.2695,231408,0.219237,0.999637,0.0001,0.316783,0.00625786,
53,65.6177,38.9343,42.2695,231743,0.212507,1.0068,0.0001,0.316997,0.0064896,
54,61.6196,38.9343,42.2695,231732,0.228277,0.965385,0.0001,0.316509,0.00672134,
55,57.651,38.9343,42.2695,229690,0.233176,0.975709,0.0001,0.316409,0.00695103,
56,53.6954,38.9343,42.2695,232963,0.227715,1.02759,0.0001,0.317306,0.00718399,
57,49.7417,39.0318,42.2695,233622,0.227298,1.01305,0.0001,0.317312,0.00741761,
58,45.7337,39.0318,42.2695,229750,0.224792,0.993071,0.0001,0.317083,0.00764736,
59,41.8091,39.0318,42.2695,232577,0.221158,0.939551,0.0001,0.3174,0.00787994,
60,37.8176,39.0318,42.2695,231282,0.226822,0.935295,0.0001,0.317273,0.00811122,
61,100.387,39.0318,42.2695,230488,0.248072,0.952533,0.0001,0.319081,0.00834171,
62,100.981,39.0318,42.2695,231017,0.238258,0.975184,0.0001,0.317526,0.00857272,
63,101.019,39.0318,42.2695,232896,0.22425,0.955314,0.0001,0.317289,0.00880562,
64,100.774,39.0318,42.2695,230823,0.231956,0.938704,0.0001,0.317368,0.00903644,
65,101.217,39.0318,42.2695,232767,0.233529,0.902625,0.0001,0.317211,0.00926921,
66,101.037,39.0318,42.2695,231928,0.229322,0.953971,0.0001,0.318062,0.00950114,
67,101.317,39.0318,42.2695,231438,0.243856,0.960627,0.0001,0.317894,0.00973258,
68,101.429,39.0318,42.2695,231517,0.245499,0.943162,0.0001,0.317713,0.00996409,
69,103.238,39.0318,42.2695,230971,0.26086,0.906658,0.0001,0.316993,0.0101951,
70,103.097,39.0318,42.2695,231236,0.234368,0.962457,0.0001,0.317916,0.0104263,
71,103.416,39.0318,42.2695,232203,0.227079,0.984933,0.0001,0.317201,0.0106585,
72,103.202,39.0318,42.2695,231646,0.258763,0.953008,0.0001,0.318921,0.0108901,
73,103.456,39.0318,42.2695,232573,0.247596,0.914434,0.0001,0.317291,0.0111227,
74,103.523,39.0318,42.2695,231107,0.239641,0.955862,0.0001,0.317899,0.0113538,
